"site","treatment","replicate","cumflux","total_days","kg_N2O_N_ha"
"T18","maize","a",36.3638576990258,301,0.440957078410114
"T18","maize","b",37.5381786082872,301,0.455197182459296
"T18","maize","c",16.4364259580546,301,0.199312142016276
"T18","maize","d",37.1387357116538,301,0.450353439692812
"T18","maize","e",50.8519232891399,301,0.616642923605849
"T27","maize","a",80.6823936586453,300,0.981635789513517
"T27","maize","b",181.356438436455,300,2.2065033343102
"T27","maize","c",146.245989383528,300,1.77932620416626
"T27","maize","d",148.804985150024,300,1.81046065265862
"T27","maize","e",148.016874876057,300,1.8008719776587
"T15","maize","a",99.2415478988258,301,1.20342740807546
"T15","maize","b",111.704911557991,301,1.35456121988927
"T15","maize","c",87.3271262844041,301,1.05895020245208
"T15","maize","d",99.2532728728455,301,1.20356958799298
"T15","maize","e",82.3391920093984,301,0.998465285163801
"area1","forest","a",35.6933639423016,302,0.431393305925168
"area1","forest","b",-7.43434733936246,302,-0.0898522112207714
"area1","forest","c",82.0160846845598,302,0.991254003637892
"area1","forest","d",27.0279643382622,302,0.326662482896215
"area1","forest","e",82.3588568150024,302,0.995396779386618
"torre de soja","soy","a",4.52722860448568,300,0.0550812813545757
"torre de soja","soy","b",5.35034206146411,300,0.06509582841448
"torre de soja","soy","c",72.3546458785404,300,0.880314858188908
"torre de soja","soy","d",30.9035405607928,300,0.375993076822979
"torre de soja","soy","e",22.44411003886,300,0.273070005472796
"app2","forest","a",55.3458633653872,293,0.689462120422059
"app2","forest","b",55.9972630396022,293,0.697576826261256
"app2","forest","c",-6.41169940539427,293,-0.0798727059033757
"app2","forest","d",36.7729786209511,293,0.45809341968079
"app2","forest","e",39.662911542363,293,0.494094290544796
"area2","forest","a",82.9682032478688,293,1.03356294148369
"area2","forest","b",10.2989950189663,293,0.128298060816474
"area2","forest","c",41.5037855434234,293,0.5170266799778
"area2","forest","d",48.9910817086585,293,0.610298458145405
"area2","forest","e",27.1648572612206,293,0.338401805472543
"area2","soy","a",59.3730384481629,300,0.722371967785982
"area2","soy","b",45.4390279583465,300,0.55284150682655
"area2","soy","c",-7.99558639150105,300,-0.0972796344299295
"area2","soy","d",9.72437306817088,300,0.118313205662746
"area2","soy","e",70.0893160603635,300,0.85275334540109
"mutum","soy","a",16.1035262063142,301,0.195275317784209
"mutum","soy","b",70.4925359180554,301,0.85480982093323
"mutum","soy","c",15.9186617126221,301,0.193033605485285
"mutum","soy","d",64.5592340783302,301,0.78286114413922
"mutum","soy","e",37.8548168083536,301,0.459036815117909
